ARMOR,PHYS_DEF,STRIKE_DEF,SLASH_DEF,THRUST_DEF,MAG_DEF,FIRE_DEF,LITNG_DEF,POISE,BLEED_RES,POIS_RES,CURSE_RES,DURABILITY,WEIGHT,STAM_MOD,SOUND_MOD
Standard Helm,14.0,8.0,16.0,14.0,8.0,8.0,3.0,5.0,9.0,8.0,0.0,250.0,3.5,0.0,1.0
Hard Leather Armor,26.0,27.6,26.0,26.0,20.0,13.0,23.0,0.0,23.0,20.0,0.0,250.0,5.9,0.0,1.0
Hard Leather Gauntlets,13.0,13.8,13.0,13.0,12.0,7.0,13.0,0.0,14.0,12.0,0.0,250.0,3.5,0.0,1.0
Hard Leather Boots,13.0,13.8,13.0,13.0,12.0,7.0,13.0,0.0,14.0,12.0,0.0,250.0,3.5,0.0,1.0
Chain Helm,12.0,12.0,14.4,11.6,10.0,8.0,3.0,5.0,10.0,6.0,0.0,300.0,3.0,0.0,1.0
Chain Armor,30.0,30.0,36.0,29.1,21.0,16.0,7.0,9.0,20.0,12.0,0.0,300.0,6.0,0.0,1.5
Leather Gauntlets,12.0,12.0,14.4,11.6,10.0,8.0,4.0,5.0,12.0,7.0,0.0,300.0,3.6,0.0,1.0
Chain Leggings,18.0,18.0,21.6,17.5,14.0,12.0,5.0,7.0,15.0,9.0,0.0,300.0,4.6,0.0,1.0
Knight Helm,14.0,13.3,16.2,13.7,6.0,8.0,5.0,8.0,9.0,6.0,0.0,400.0,4.2,0.0,1.0
Knight Armor,37.0,35.1,42.9,36.3,16.0,18.0,13.0,20.0,23.0,16.0,0.0,400.0,10.9,0.0,1.5
Knight Gauntlets,17.0,16.2,19.7,16.7,7.0,8.0,4.0,6.0,8.0,5.0,0.0,400.0,3.5,0.0,1.0
Knight Leggings,22.0,20.9,25.5,21.6,10.0,11.0,8.0,12.0,14.0,9.0,0.0,400.0,6.4,0.0,1.0
Elite Knight Helm,15.0,14.6,17.4,15.0,7.0,8.0,6.0,8.0,9.0,6.0,0.0,450.0,4.5,0.0,1.0
Elite Knight Armor,39.0,37.8,45.2,39.0,17.0,18.0,15.0,20.0,23.0,16.0,0.0,450.0,11.7,0.0,1.5
Elite Knight Gauntlets,18.0,17.5,20.9,18.0,7.0,8.0,5.0,6.0,7.0,5.0,0.0,450.0,3.7,0.0,1.0
Elite Knight Leggings,23.0,22.3,26.7,23.0,11.0,11.0,9.0,12.0,14.0,9.0,0.0,450.0,6.9,0.0,1.0
Wanderer Hood,9.0,9.6,9.6,9.0,8.0,10.0,9.0,0.0,8.0,8.0,0.0,400.0,1.4,0.0,1.0
